latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts,slowdown
40ns,50GiB/s,256,0.008309,8308958391.0,20141823.0,1.0003611846857694
80ns,100GiB/s,1,0.009165,9164999160.0,22133824.0,1.0217391304347825
80ns,100GiB/s,4,0.008665,8665499160.0,20633824.0,1.0230224321133412
80ns,100GiB/s,16,0.008541,8540760357.0,20258918.0,1.0234871180347513
80ns,100GiB/s,64,0.00851,8509541607.0,20165168.0,1.023574693288429
80ns,100GiB/s,256,0.008502,8501783373.0,20141823.0,1.0235973994702625
80ns,12.5GiB/s,1,0.009188,9187573230.0,22133824.0,1.024303232998885
80ns,12.5GiB/s,4,0.008688,8688073230.0,20633824.0,1.025737898465171
80ns,12.5GiB/s,16,0.008563,8563334427.0,20258918.0,1.0261234272019173
80ns,12.5GiB/s,64,0.008532,8532115677.0,20165168.0,1.0262208323310078
80ns,12.5GiB/s,256,0.008524,8524357443.0,20141823.0,1.0262460871659043
80ns,25GiB/s,1,0.009178,9178121358.0,22133824.0,1.0231884057971015
80ns,25GiB/s,4,0.008679,8678621358.0,20633824.0,1.0246753246753246
80ns,25GiB/s,16,0.008554,8553882555.0,20258918.0,1.0250449370880768
80ns,25GiB/s,64,0.008523,8522663805.0,20165168.0,1.0251383209044984
80ns,25GiB/s,256,0.008515,8514905571.0,20141823.0,1.0251625331085963
80ns,50GiB/s,1,0.009168,9167618538.0,22133824.0,1.0220735785953177
80ns,50GiB/s,4,0.008668,8668118538.0,20633824.0,1.0233766233766235
80ns,50GiB/s,16,0.008543,8543379735.0,20258918.0,1.0237267825044938
80ns,50GiB/s,64,0.008512,8512160985.0,20165168.0,1.023815251383209
80ns,50GiB/s,256,0.008504,8504402751.0,20141823.0,1.0238381892607753
