latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts,slowdown
40ns,25GiB/s,4,0.000466,465631902.0,1158588.0,1.0021505376344086
40ns,25GiB/s,16,0.000441,440686206.0,1139932.0,1.0022727272727272
40ns,25GiB/s,64,0.00039,390396546.0,1135245.0,1.0
40ns,25GiB/s,256,0.000359,359346294.0,1134165.0,1.0027932960893855
40ns,50GiB/s,1,0.000518,517532949.0,1233588.0,1.0019342359767893
40ns,50GiB/s,4,0.000465,464849685.0,1158588.0,1.0
40ns,50GiB/s,16,0.00044,440293932.0,1139932.0,1.0
40ns,50GiB/s,64,0.00039,389839770.0,1135245.0,1.0
40ns,50GiB/s,256,0.000359,358601373.0,1134165.0,1.0027932960893855
80ns,100GiB/s,1,0.000549,549425025.0,1233588.0,1.0618955512572534
80ns,100GiB/s,4,0.000497,496741761.0,1158588.0,1.0688172043010753
80ns,100GiB/s,16,0.000472,471608586.0,1139932.0,1.0727272727272728
80ns,100GiB/s,64,0.000421,421453791.0,1135245.0,1.0794871794871794
80ns,100GiB/s,256,0.00039,390425517.0,1134165.0,1.0893854748603353
80ns,12.5GiB/s,1,0.000552,551584197.0,1233588.0,1.067698259187621
80ns,12.5GiB/s,4,0.000499,498900933.0,1158588.0,1.0731182795698924
80ns,12.5GiB/s,16,0.000474,474153372.0,1139932.0,1.0772727272727272
80ns,12.5GiB/s,64,0.000424,423998577.0,1135245.0,1.0871794871794873
80ns,12.5GiB/s,256,0.000393,392970303.0,1134165.0,1.0977653631284918
80ns,25GiB/s,1,0.00055,550393389.0,1233588.0,1.0638297872340425
80ns,25GiB/s,4,0.000498,497710125.0,1158588.0,1.0709677419354837
80ns,25GiB/s,16,0.000473,472577283.0,1139932.0,1.075
80ns,25GiB/s,64,0.000422,422422488.0,1135245.0,1.0820512820512822
80ns,25GiB/s,256,0.000391,391394214.0,1134165.0,1.0921787709497208
80ns,50GiB/s,1,0.00055,549622161.0,1233588.0,1.0638297872340425
80ns,50GiB/s,4,0.000497,496938897.0,1158588.0,1.0688172043010753
80ns,50GiB/s,16,0.000472,471806721.0,1139932.0,1.0727272727272728
80ns,50GiB/s,64,0.000422,421651926.0,1135245.0,1.0820512820512822
80ns,50GiB/s,256,0.000391,390623652.0,1134165.0,1.0921787709497208
