latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts
80ns,25GiB/s,1,0.00055,550393389.0,1233588.0
80ns,25GiB/s,4,0.000498,497710125.0,1158588.0
80ns,25GiB/s,16,0.000473,472577283.0,1139932.0
80ns,25GiB/s,64,0.000422,422422488.0,1135245.0
80ns,25GiB/s,256,0.000391,391394214.0,1134165.0
80ns,50GiB/s,1,0.00055,549622161.0,1233588.0
80ns,50GiB/s,4,0.000497,496938897.0,1158588.0
80ns,50GiB/s,16,0.000472,471806721.0,1139932.0
80ns,50GiB/s,64,0.000422,421651926.0,1135245.0
80ns,50GiB/s,256,0.000391,390623652.0,1134165.0
