latency,bandwidth,streams,simSeconds,simTicks,simInsts
80ns,12.5GiB/s,32,0.00704,7040252367.0,16736021.0
80ns,25GiB/s,1,0.000239,238916511.0,992760.0
80ns,25GiB/s,4,0.001222,1221800310.0,2516367.0
80ns,25GiB/s,8,0.001894,1894316454.0,4547667.0
80ns,25GiB/s,16,0.003669,3668709951.0,8610605.0
80ns,25GiB/s,32,0.00677,6769919304.0,16736021.0
80ns,50GiB/s,1,0.000238,237666429.0,992760.0
80ns,50GiB/s,4,0.001197,1196520615.0,2516367.0
80ns,50GiB/s,8,0.001839,1839416409.0,4547667.0
80ns,50GiB/s,16,0.003622,3621536838.0,8610605.0
80ns,50GiB/s,32,0.006683,6682910400.0,16736021.0
